"Year","District","AbsDem","AbsRep","MachDem","MachRep","diffabs","diffmach","ratioabs","ratiomach"
1982,2,551,205,47767,21340,346,26427,2.687804878,2.238378632
1982,4,594,312,44437,28533,282,15904,1.903846154,1.557389689
1982,8,338,115,55662,13214,223,42448,2.939130435,4.212350537
1984,1,1357,764,58327,38883,593,19444,1.77617801,1.500064295
1984,3,716,144,78270,6473,572,71797,4.972222222,12.0917658
1984,5,1207,1436,54812,55829,-229,-1017,0.8405292479000001,0.9817836608
1984,7,929,258,77136,13730,671,63406,3.600775194,5.618062637
1986,2,609,316,39034,23363,293,15671,1.92721519,1.67076146
1986,4,666,306,52817,16541,360,36276,2.176470588,3.193095943
1986,8,477,171,48315,11605,306,36710,2.789473684,4.163291685
1988,1,1101,700,56362,34514,401,21848,1.572857143,1.633018485
1988,3,448,70,69801,3939,378,65862,6.4,17.72048743
1988,5,781,1610,43527,56721,-829,-13194,0.4850931677,0.76738774
1988,7,644,250,68702,12602,394,56100,2.576,5.451674337
1990,2,660,509,27543,26843,151,700,1.296660118,1.026077562
1990,4,482,831,39193,27664,-349,11529,0.5800240674,1.416751012
1990,8,308,148,34598,8551,160,26047,2.081081081,4.046076482
1992,1,1923,594,65943,21518,1329,44425,3.237373737,3.064550609
1992,3,695,327,58480,12968,368,45512,2.125382263,4.509561999
1992,5,841,1275,41267,46967,-434,-5700,0.6596078431,0.8786381928
1992,7,814,423,65516,14310,391,51206,1.924349882,4.578336827
1993,2,1396,371,19127,19691,1025,-564,3.762803235,0.971357473
